Crown_id,Species,Probability
3,ACRU,0.0
3,LIST,0.0
3,OTHER,0.0
3,PIEL,0.0
3,PIPA,1.0
3,PITA,0.0
3,QUGE,0.0
3,QULA,0.0
3,QUNI,0.0
4,ACRU,0.0
4,LIST,0.0
4,OTHER,0.0
4,PIEL,0.0
4,PIPA,1.0
4,PITA,0.0
4,QUGE,0.0
4,QULA,0.0
4,QUNI,0.0
9,ACRU,0.0
9,LIST,0.0
9,OTHER,0.0
9,PIEL,0.0
9,PIPA,0.0
9,PITA,0.0
9,QUGE,0.0
9,QULA,1.0
9,QUNI,0.0
13,ACRU,0.0
13,LIST,0.0
13,OTHER,0.0
13,PIEL,0.0
13,PIPA,1.0
13,PITA,0.0
13,QUGE,0.0
13,QULA,0.0
13,QUNI,0.0
14,ACRU,0.0
14,LIST,0.0
14,OTHER,0.0
14,PIEL,0.0
14,PIPA,1.0
14,PITA,0.0
14,QUGE,0.0
14,QULA,0.0
14,QUNI,0.0
16,ACRU,0.0
16,LIST,0.0
16,OTHER,0.0
16,PIEL,0.0
16,PIPA,1.0
16,PITA,0.0
16,QUGE,0.0
16,QULA,0.0
16,QUNI,0.0
18,ACRU,0.0
18,LIST,0.0
18,OTHER,1.0
18,PIEL,0.0
18,PIPA,0.0
18,PITA,0.0
18,QUGE,0.0
18,QULA,0.0
18,QUNI,0.0
20,ACRU,0.0
20,LIST,0.0
20,OTHER,0.09090909090909091
20,PIEL,0.0
20,PIPA,0.7272727272727273
20,PITA,0.0
20,QUGE,0.0
20,QULA,0.18181818181818182
20,QUNI,0.0
21,ACRU,0.0
21,LIST,0.0
21,OTHER,0.0
21,PIEL,1.0
21,PIPA,0.0
21,PITA,0.0
21,QUGE,0.0
21,QULA,0.0
21,QUNI,0.0
22,ACRU,0.0
22,LIST,0.0
22,OTHER,0.0
22,PIEL,0.0
22,PIPA,0.0
22,PITA,0.0
22,QUGE,0.0
22,QULA,1.0
22,QUNI,0.0
23,ACRU,0.0
23,LIST,0.0
23,OTHER,0.0
23,PIEL,0.0
23,PIPA,0.0
23,PITA,0.0
23,QUGE,0.0
23,QULA,1.0
23,QUNI,0.0
24,ACRU,0.0
24,LIST,0.0
24,OTHER,0.0
24,PIEL,0.0
24,PIPA,0.6666666666666666
24,PITA,0.0
24,QUGE,0.0
24,QULA,0.3333333333333333
24,QUNI,0.0
25,ACRU,0.0
25,LIST,0.0
25,OTHER,0.0
25,PIEL,0.0
25,PIPA,1.0
25,PITA,0.0
25,QUGE,0.0
25,QULA,0.0
25,QUNI,0.0
26,ACRU,0.0
26,LIST,0.0
26,OTHER,0.0
26,PIEL,0.0
26,PIPA,1.0
26,PITA,0.0
26,QUGE,0.0
26,QULA,0.0
26,QUNI,0.0
28,ACRU,0.0
28,LIST,0.0
28,OTHER,0.0
28,PIEL,0.0
28,PIPA,1.0
28,PITA,0.0
28,QUGE,0.0
28,QULA,0.0
28,QUNI,0.0
29,ACRU,0.0
29,LIST,0.0
29,OTHER,0.0
29,PIEL,0.0
29,PIPA,1.0
29,PITA,0.0
29,QUGE,0.0
29,QULA,0.0
29,QUNI,0.0
30,ACRU,0.0
30,LIST,0.0
30,OTHER,0.0
30,PIEL,0.0
30,PIPA,0.0
30,PITA,0.0
30,QUGE,1.0
30,QULA,0.0
30,QUNI,0.0
31,ACRU,0.0
31,LIST,0.0
31,OTHER,0.0
31,PIEL,0.0
31,PIPA,0.0
31,PITA,0.0
31,QUGE,0.03333333333333333
31,QULA,0.0
31,QUNI,0.9666666666666667
42,ACRU,0.0
42,LIST,0.0
42,OTHER,0.0
42,PIEL,0.0
42,PIPA,1.0
42,PITA,0.0
42,QUGE,0.0
42,QULA,0.0
42,QUNI,0.0
43,ACRU,0.0
43,LIST,0.0
43,OTHER,0.0
43,PIEL,0.0
43,PIPA,1.0
43,PITA,0.0
43,QUGE,0.0
43,QULA,0.0
43,QUNI,0.0
44,ACRU,0.0
44,LIST,0.0
44,OTHER,0.0
44,PIEL,0.0
44,PIPA,1.0
44,PITA,0.0
44,QUGE,0.0
44,QULA,0.0
44,QUNI,0.0
45,ACRU,0.0
45,LIST,0.0
45,OTHER,0.0
45,PIEL,0.0
45,PIPA,1.0
45,PITA,0.0
45,QUGE,0.0
45,QULA,0.0
45,QUNI,0.0
46,ACRU,0.0
46,LIST,0.0
46,OTHER,0.0
46,PIEL,0.0
46,PIPA,1.0
46,PITA,0.0
46,QUGE,0.0
46,QULA,0.0
46,QUNI,0.0
52,ACRU,0.0
52,LIST,0.0
52,OTHER,0.0
52,PIEL,0.0
52,PIPA,0.25
52,PITA,0.0
52,QUGE,0.0
52,QULA,0.75
52,QUNI,0.0
53,ACRU,0.0
53,LIST,0.0
53,OTHER,0.0
53,PIEL,0.0
53,PIPA,1.0
53,PITA,0.0
53,QUGE,0.0
53,QULA,0.0
53,QUNI,0.0
54,ACRU,0.0
54,LIST,0.0
54,OTHER,0.0
54,PIEL,0.0
54,PIPA,1.0
54,PITA,0.0
54,QUGE,0.0
54,QULA,0.0
54,QUNI,0.0
55,ACRU,0.0
55,LIST,0.0
55,OTHER,0.0
55,PIEL,0.0
55,PIPA,1.0
55,PITA,0.0
55,QUGE,0.0
55,QULA,0.0
55,QUNI,0.0
57,ACRU,0.0
57,LIST,0.0
57,OTHER,0.0
57,PIEL,0.0
57,PIPA,1.0
57,PITA,0.0
57,QUGE,0.0
57,QULA,0.0
57,QUNI,0.0
58,ACRU,0.0
58,LIST,0.0
58,OTHER,0.0
58,PIEL,0.0
58,PIPA,1.0
58,PITA,0.0
58,QUGE,0.0
58,QULA,0.0
58,QUNI,0.0
61,ACRU,0.0
61,LIST,0.0
61,OTHER,0.0
61,PIEL,0.0
61,PIPA,1.0
61,PITA,0.0
61,QUGE,0.0
61,QULA,0.0
61,QUNI,0.0
62,ACRU,0.0
62,LIST,0.0
62,OTHER,0.0
62,PIEL,0.0
62,PIPA,0.0
62,PITA,0.0
62,QUGE,0.0
62,QULA,1.0
62,QUNI,0.0
67,ACRU,0.0
67,LIST,0.0
67,OTHER,0.0
67,PIEL,0.0
