crown_ids	AC	LI	OT	PI	QU	
508	1.8522755262247305e-06	8.775643126731102e-06	8.01286144235757e-09	0.9774351906154743	0.022554173453011347	
95	0.00027914969991047373	0.0006318126898673777	7.189842173309666e-06	0.8137036535153657	0.18537819425268323	
373	0.0004048989648496099	0.9994788294540488	1.2570612839167202e-05	7.653502457459477e-07	0.0001029356180169288	
561	0.00609115609359409	0.00029326016397985573	0.0027016365325471096	0.9888010890677683	0.0021128581421106674	
266	1.6639329296695998e-05	0.0007144593973336179	4.531151561992213e-09	0.011539355451250476	0.9877295412909676	
612	0.0002791589660889704	0.00011583700969783135	0.0001423731637742413	0.9878846122330133	0.011578018627425714	
232	3.5325028214840006e-06	1.1673867849143931e-05	1.9334336017183423e-07	9.093108931622432e-08	0.9999845093548798	
53	0.00014261310633427525	3.0172489770910673e-10	3.5117914823794776e-09	0.9799405262967017	0.019916856783447682	
25	4.600896933668286e-08	1.927308404603255e-07	1.2608946970731532e-09	0.9999667481436064	3.301185568910277e-05	
352	2.839610447044157e-06	2.683090579039322e-05	1.2556470306365099e-07	0.9557726105559857	0.04419759336307373	
622	8.683999583335413e-07	9.08825936240164e-06	5.282608966449167e-09	0.8152338058611115	0.18475623219695886	
180	0.0011252135638575725	1.827198130409909e-05	9.346592497542462e-05	0.9641185691787932	0.03464447935106951	
265	5.5791730631844695e-06	6.798436989807867e-05	8.178147365414008e-09	0.005843884054375922	0.9940825442245155	
455	0.00023311471858681	0.00022568655867620296	2.6176475217723864e-05	0.7011747572507284	0.29834026499679095	
490	0.0020259231319319565	6.501624962957425e-06	0.0003810595449978297	0.009373494786169561	0.9882130209119376	
612	5.564591145910977e-07	9.350938577321789e-11	3.9864413700936017e-11	0.9999921479387137	7.295468797824499e-06	
295	1.4006552841732594e-05	2.944836455943571e-05	2.0408617486321772e-07	0.003131862300411063	0.9968244786960129	
100	0.0002398633905545119	7.826068845545554e-05	7.4282837401329016e-06	0.9996028753853943	7.157225185584103e-05	
298	2.708824972529878e-06	1.6299183848328982e-07	4.3303233616151935e-08	0.9999316160468084	6.546883314708373e-05	
4	0.00019249191894656496	3.252215138676797e-07	6.367508963315797e-07	0.999541339851877	0.00026520625676615227	
394	4.334295818487648e-08	4.1170273087455194e-08	1.753304102335962e-10	0.9992940830417842	0.0007058322696540908	
13	4.945314406570587e-08	4.947859655639773e-08	2.0880179631554872e-09	0.9999972769252792	2.622054962304837e-06	
547	0.004603122092286248	2.4814068453874423e-07	3.177015462655772e-05	0.02633124643536811	0.9690336131770345	
450	4.670257602791591e-05	7.147470406528982e-08	1.2654224031008923e-06	0.9981621524941315	0.0017898080327335372	
54	4.595949751782414e-07	1.8866253578005202e-07	1.1083710799588688e-07	0.9999740240355921	2.5216869788998215e-05	
435	5.397952973676068e-05	0.0005019051009129555	1.2773944040857726e-07	0.15235967620836693	0.8470843114215428	
231	5.899526157875569e-07	6.780183808734157e-07	1.2030134358981097e-07	0.9992175238991344	0.0007810878285253661	
302	0.000376896098404993	2.2415942523835442e-05	0.001601747690900665	0.349204311286005	0.6487946289821656	
114	1.8440904061020453e-05	1.5072874415007174e-05	3.913379724918864e-06	0.9936515050789666	0.006311067762832346	
423	8.234700663287971e-06	3.2511906190011874e-06	8.955103866300328e-08	0.9944026198602172	0.005585804697461802	
399	1.2453815174285859e-08	1.697509897065945e-08	8.768764550707072e-11	0.9999481341780639	5.1836305334179784e-05	
253	7.425559317155242e-05	9.960492356661861e-05	5.3961465213709636e-06	0.9968783644486804	0.002942378888060145	
493	0.009788969199791973	0.0020432482072137437	0.0013017673013365292	0.8779725256444735	0.10889348964718439	
484	1.210916460477998e-05	1.1047228236275168e-13	1.7308790145643334e-10	0.0018156424858016705	0.998172248176395	
283	1.2333414858412563e-05	7.153226831075584e-06	5.3790602253796e-06	0.9998999479561043	7.518634198094035e-05	
401	0.0075458791940714925	0.9481894761988631	0.04216054526297703	0.00020337756504611705	0.0019007217790423254	
313	0.006033306442753885	0.00022358573189020666	3.5622222527120014e-05	0.24078963050815472	0.7529178550946741	
471	5.364742950187316e-06	6.312049096185889e-06	1.076839271492952e-07	0.9953202445403551	0.0046679709836714	
161	2.340484709204022e-08	3.7321448183451644e-08	4.5565075017344644e-11	0.946770240436958	0.05322969879118151	
567	3.625619049795953e-05	0.0002847268821851722	1.4919182343539108e-07	0.8290385473807215	0.17064032035477195	
601	1.70518055949344e-06	5.880391703603317e-07	3.247519269106251e-08	0.999826393181692	0.00017128112338545194	
291	8.269365722691787e-07	1.7457628020288716e-06	2.3712064283915396e-09	0.8407107918362902	0.15928663309312918	
272	1.6611067576885786e-05	9.115609441270088e-05	0.00016100394711538325	0.9404370465852252	0.05929418230566982	
402	2.543904403601296e-07	4.0805070295670964e-07	7.604191438619532e-11	0.9876705340736124	0.012328803409202536	
304	5.25589158834976e-08	9.659917290542695e-08	1.3068620501395043e-07	0.9969138437035542	0.0030858764521521725	
426	4.025116722972441e-06	5.090656397045027e-06	2.9661671730088476e-07	0.00025050424070054004	0.9997400833694621	
31	5.219070978335036e-06	1.0535323004213838e-05	1.682094203694898e-07	1.2510148826350557e-07	0.999983952295109	
366	2.2828552186187748e-07	5.972982605101199e-06	2.228833732246283e-10	0.9305359544053604	0.06945784410362918	
237	0.994880442562089	0.004643617381694157	1.1568484382667782e-05	8.974074519566298e-05	0.00037463082663862125	
324	8.81422474315446e-06	8.46681123011708e-06	3.430399872228078e-07	0.9786500970639429	0.02133227886009664	
375	5.794903451955006e-07	1.5512451977309287e-06	4.334293907512169e-07	0.9999849228335558	1.2513001510523398e-05	
391	7.029595795725957e-05	1.1789775108547794e-09	1.6961734580206977e-06	0.8655886662365332	0.1343393404530739	
221	1.12472825116137e-09	1.4456896449088607e-08	4.998182625140778e-11	0.9999865397959462	1.3444572447222378e-05	
235	0.955027242211285	0.04292601560028034	2.659038857765445e-05	0.00025337935727854835	0.0017667724425784713	
234	4.4714223971645794e-05	1.2228213784783344e-05	4.926928651522684e-06	0.9895516468638006	0.010386483769791418	
133	1.0021474461637436e-06	3.116660120828088e-06	1.4215268262569959e-07	0.9988905466925253	0.001105192347224881	
72	3.083895294040129e-07	3.718861475180945e-07	9.522520376274724e-08	0.9999937266073887	5.4978917305934785e-06	
95	5.63028895274449e-07	1.539087254063414e-06	5.1615258194675174e-09	0.997572390452613	0.0024255022697118036	
298	8.835757533970444e-06	2.050035406452077e-05	8.679001506319411e-08	0.9911555968107418	0.008814980287644632	
266	5.216001074792338e-06	0.00040355761525219736	1.849282796079777e-08	0.0002420206603882527	0.9993491872304568	
505	3.88306994584229e-05	3.833820300193141e-06	1.8218585299254114e-07	0.9999396951411664	1.745815322179792e-05	
398	4.016872545390847e-09	4.6447694680954435e-07	6.698626546566292e-11	0.39789741649597693	0.6021021149432175	
361	0.00012372262171842375	2.9199972752779337e-05	3.8771287604735714e-05	0.9619501804400671	0.03785812567785688	
199	3.7874371300052166e-06	2.4036100431085374e-06	9.32081807711415e-09	0.9992543567603878	0.0007394428716209232	
265	0.0012369233212898589	1.0729963527953322e-06	0.00012431437462605407	0.0009288431293234613	0.9977088461784079	
114	0.00013194154625727013	7.5652652701080685e-06	2.1968403536175545e-05	0.9845516564146976	0.015286868370238951	
168	3.688940255784812e-08	5.385480776361856e-08	4.919200946340214e-10	0.9999768721309393	2.303663293026949e-05	
292	1.48395434902545e-06	1.1454128931397604e-06	1.4979457779508928e-08	0.9805568472717227	0.01944050838157743	
450	0.00047607017279422916	2.286595304914817e-12	4.688010943763701e-11	0.9210190072069763	0.07850492257106285	
133	8.689067297281372e-06	6.524687933764584e-07	1.3985382628415727e-08	0.9996761556314232	0.00031448884710346217	
414	4.2038266244545085e-07	7.245037202073453e-07	6.974168828109733e-08	0.9999813467368014	1.7438635127489702e-05	
473	2.931578586887483e-06	1.1478265664941086e-07	2.812690198607342e-07	0.9989725671694317	0.0010241052003048716	
233	0.0013857037024066663	6.460864061463845e-06	2.0034830640829338e-05	0.9981291827920723	0.0004586178108186638	
382	8.290742377161042e-05	4.045585473418233e-07	2.0780525735495978e-05	0.010788051101824795	0.9891078563901208	
274	0.00026044198466465177	7.057064887772819e-06	6.074042853934131e-05	0.8789146574384068	0.12075710308350145	
399	9.72005057190951e-08	6.367671509343413e-08	1.5705153946779996e-07	0.99902155239204	0.000978129679199732	
351	1.5294087710081456e-06	2.3652874141081825e-06	7.201453343435695e-09	0.9888082815602527	0.01118781654210894	
111	0.0002658672824984977	0.0001729818204486387	0.00013892945597895217	0.9986809231185418	0.0007412983225319836	
588	2.8407343008566393e-08	1.517059961784914e-09	1.8146689697437964e-09	0.9999962446169677	3.7236439605517107e-06	
608	7.873954991735932e-05	5.2759229654894406e-05	8.819518624526216e-08	0.9921632109697205	0.00770520205552122	
454	6.475308330436926e-07	2.3197802111867624e-07	6.753030187782657e-08	0.9933879422686168	0.006611110692227263	
190	0.00017674105356199312	0.42106005743597336	0.5654963857490428	0.01325746823954372	9.347521878117238e-06	
494	3.1359041948766384e-07	5.38965319402419e-08	3.5065076124154885e-07	0.9998570574995416	0.00014222436274558597	
92	0.000296575920368714	4.505445627283033e-06	2.9847031217089757e-06	0.003977251379526666	0.9957186825513555	
454	7.602406570737051e-07	5.334371627548745e-07	6.281740559524752e-07	0.9911505853323236	0.00884749281580077	
339	4.503823795801643e-05	2.8754701684916237e-08	4.7544965709256884e-06	0.024482616466384076	0.9754675620443853	
474	1.86430964769606e-06	2.521351039293413e-05	4.430706869965801e-09	0.8077130860078138	0.19225983174143868	
379	5.867137107485799e-05	1.1459123244519607e-05	9.91058639192904e-06	0.002820257016343358	0.9970997019029454	
315	0.0003229604385772468	0.00013547252422765744	0.0013058801836236783	0.9279456285201569	0.07029005833341444	
490	0.022034082188710606	3.8271034719286157e-07	0.0001494098665817226	0.009338672574761484	0.968477452659599	
391	2.184280297842289e-05	3.262283596747626e-08	4.565359164366176e-06	0.9696675934479394	0.030305965767081822	
473	1.0469786806046693e-05	2.386999563369824e-06	1.835283667785807e-07	0.9965236110303864	0.003463348654877382	
234	4.143440030639687e-06	6.459238641945505e-06	1.1712888941989862e-07	0.9943239383791104	0.0056653418133276725	
228	0.00010405979993480664	6.1792867744569e-05	6.1032156632195645e-05	0.973834442618263	0.025938672557425515	
