Crown_id,Genus,Probability
1,AC,1.5886189588235295e-13
1,LI,4.875799023529413e-12
1,OT,8.430146985087646e-09
1,PI,0.9996325884805193
1,QU,0.00036740308429906613
2,AC,2.178882858333333e-13
2,LI,6.928837374999998e-12
2,OT,1.2899140715213333e-08
2,PI,0.9994118366315891
2,QU,0.0005881504621235562
5,AC,8.748590680000001e-13
5,LI,2.7951581164e-11
5,OT,4.1250923272139995e-08
5,PI,0.9988533502948803
5,QU,0.0011466084253699605
10,AC,5.35913e-15
10,LI,2.4140629285714285e-13
10,OT,1.944609458067143e-09
10,PI,0.9997096908119378
10,QU,0.00029030724320606516
11,AC,1.5268978624666666e-09
11,LI,2.7840429351151664e-08
11,OT,2.5014869589419926e-06
11,PI,0.9949069966334393
11,QU,0.005090472512274474
12,AC,1.598590836214286e-11
12,LI,4.1047833119428577e-10
12,OT,2.304527578824557e-07
12,PI,0.9965603891243381
12,QU,0.003439379996440097
19,AC,2.9065292740454546e-10
19,LI,5.7162463701522725e-09
19,OT,7.596181174069507e-07
19,PI,0.9974408422057149
19,QU,0.002558392169268364
27,AC,2.5696204000000003e-13
27,LI,8.882594452500001e-12
27,OT,1.893896549984875e-08
27,PI,0.9990177611302441
27,QU,0.000982219921650839
38,AC,1.0478707544293332e-09
38,LI,1.972685888356267e-08
38,OT,1.970746157109913e-06
38,PI,0.996531462088662
38,QU,0.0034665463904514303
41,AC,2.496957463639286e-09
41,LI,3.973064040015715e-08
41,OT,2.979222662665689e-06
41,PI,0.9941330893970795
41,QU,0.0058638891526601586
48,AC,4.665223408263334e-10
48,LI,9.378000286412997e-09
48,OT,1.0045360346628337e-06
48,PI,0.9984116781492324
48,QU,0.0015873074702100773
49,AC,1.0477093571428573e-14
49,LI,3.969804542857142e-13
49,OT,1.6799679971457142e-09
49,PI,0.999788872661683
49,QU,0.00021112565794162538
63,AC,1.891775864369565e-10
63,LI,3.930342137968261e-09
63,OT,4.690169099455442e-07
63,PI,0.9990262770136608
63,QU,0.0009732498499094453
64,AC,5.77574402425e-10
64,LI,1.2114784807039e-08
64,OT,1.630830848980667e-06
64,PI,0.9945370766889707
64,QU,0.005461279787821028
69,AC,1.0063741666666668e-13
69,LI,3.4845829122222218e-12
69,OT,9.647459022426667e-09
69,PI,0.9994899998023106
69,QU,0.0005099905466451437
74,AC,9.625990818181818e-14
74,LI,3.336150823636364e-12
74,OT,8.133347714825455e-09
74,PI,0.9995326412244406
74,QU,0.0004673506387791163
84,AC,1.4899995282596552e-09
84,LI,2.853287458805586e-08
84,OT,2.761842533309412e-06
84,PI,0.9944110227604824
84,QU,0.0055861853741100715
91,AC,4.555092497129165e-09
91,LI,7.468036143067942e-08
91,OT,5.432861962477979e-06
91,PI,0.9920527046318236
91,QU,0.007941783270759874
102,AC,8.370598551063828e-13
102,LI,1.8746619099148934e-11
102,OT,1.584528193803319e-08
102,PI,0.9995286112998517
102,QU,0.0004713728352826573
103,AC,1.0361391570689286e-09
103,LI,2.2724622553974283e-08
103,OT,2.4830063451727048e-06
103,PI,0.9968407741379319
103,QU,0.0031567190949612378
105,AC,2.153242565891667e-09
105,LI,2.120880093912666e-08
105,OT,1.6359014703143853e-06
105,PI,0.997606755822699
105,QU,0.002391584913787215
107,AC,9.022749411557143e-10
107,LI,1.494487298961607e-08
107,OT,1.293849612432597e-06
107,PI,0.9976814966059424
107,QU,0.002317193697297436
108,AC,2.8662932871666667e-11
108,LI,7.429957819816666e-10
108,OT,4.003050021219383e-07
108,PI,0.9968942611257642
108,QU,0.0031053377975750235
120,AC,1.067035231142353e-09
120,LI,1.963354798483059e-08
120,OT,1.8140344849377524e-06
120,PI,0.9956803850371924
120,QU,0.004317780227739662
127,AC,6.699562857142856e-15
127,LI,2.6466537523809526e-13
127,OT,1.3384749969790479e-09
127,PI,0.9998684805838458
127,QU,0.00013151807740776383
129,AC,3.12322375e-15
129,LI,1.5060386e-13
129,OT,1.54265250917625e-09
129,PI,0.9997735113790592
129,QU,0.00022648707813447552
131,AC,1.8170511764705886e-13
131,LI,6.045389659411764e-12
131,OT,1.3644435884140588e-08
131,PI,0.9992388224333103
131,QU,0.0007611639160266621
132,AC,6.203679071428571e-14
132,LI,2.069530741428571e-12
132,OT,4.71942863367e-09
132,PI,0.9997138472842844
132,QU,0.00028614799415552325
138,AC,5.598586284854546e-10
138,LI,1.2021529520580908e-08
138,OT,1.4867982958155936e-06
138,PI,0.9967769231976349
138,QU,0.00322157742268101
144,AC,2.1454186666666667e-13
144,LI,7.906188286666668e-12
144,OT,2.1483976788396663e-08
144,PI,0.999020941683207
144,QU,0.000979036824695545
146,AC,3.72455707815926e-10
146,LI,7.739768302502593e-09
146,OT,8.637787245906478e-07
146,PI,0.9977582298409716
146,QU,0.0022408982680797453
149,AC,1.2116704625385714e-09
149,LI,2.0860137231672498e-08
149,OT,1.7162497740078966e-06
149,PI,0.9968202122052121
149,QU,0.0031780494732060434
152,AC,1.101062308584286e-09
152,LI,2.191708890887286e-08
152,OT,2.45310603977356e-06
152,PI,0.9951603165154724
152,QU,0.004837207360336599
154,AC,7.4267095e-14
154,LI,2.1701792330769234e-12
154,OT,3.815423197918846e-09
154,PI,0.9997560364829841
154,QU,0.0002439596993483997
159,AC,5.044397e-13
159,LI,1.7278563831428568e-11
159,OT,3.058763021842928e-08
159,PI,0.9990252162916845
159,QU,0.0009747531029021941
178,AC,6.278223349233334e-10
178,LI,1.3133646035495554e-08
178,OT,2.0328188420483205e-06
178,PI,0.9945441853156244
178,QU,0.005453768104065121
191,AC,7.81489975e-13
191,LI,2.1578151374666667e-11
191,OT,2.8670862082541658e-08
191,PI,0.9989852897412168
191,QU,0.001014681565561451
195,AC,2.6356828260472725e-09
195,LI,4.713646457126091e-08
195,OT,4.048209201120493e-06
195,PI,0.9942363951794878
195,QU,0.005759506839163765
196,AC,3.15227759075e-11
196,LI,7.532814730299998e-10
196,OT,3.375727094074525e-07
196,PI,0.9972531045697819
196,QU,0.002746557072704452
197,AC,7.465584177419355e-13
197,LI,2.1486052313225808e-11
197,OT,3.0657671696164845e-08
197,PI,0.9989363525110975
197,QU,0.0010636168089982623
200,AC,2.7112648410857137e-10
200,LI,5.5562567320896416e-09
200,OT,5.543252802915727e-07
200,PI,0.9981658101016899
200,QU,0.0018336297456463175
201,AC,1.5612696402979413e-09
201,LI,2.9758307303580876e-08
201,OT,2.839986198367019e-06
201,PI,0.9951425040258627
201,QU,0.0048546246683623
209,AC,9.193128695000001e-12
209,LI,2.0765332065375003e-10
209,OT,1.0310918963719e-07
209,PI,0.9984068661920831
209,QU,0.0015930304818807764
222,AC,2.855821764705882e-14
222,LI,1.0850611188235293e-12
222,OT,4.3270542083994115e-09
222,PI,0.9997247147048922
222,QU,0.0002752809669400678
224,AC,7.716705683333334e-13
224,LI,2.2574596253750002e-11
224,OT,3.302270668732916e-08
224,PI,0.9990313073387447
224,QU,0.0009686596152023787
230,AC,2.042564708888261e-09
230,LI,4.310518897399522e-08
230,OT,4.979556209070645e-06
230,PI,0.9914025267717215
230,QU,0.008592448524315382
238,AC,1.353000960722222e-11
238,LI,3.5876225550888893e-10
238,OT,2.331540785797022e-07
238,PI,0.9975764540689807
238,QU,0.0024233124046486166
246,AC,1.667126045e-12
246,LI,4.7377503936666667e-11
246,OT,5.4658418666516687e-08
246,PI,0.9989936407532071
246,QU,0.0010063045393295578
247,AC,2.4644470275075e-10
247,LI,3.74220646562475e-09
247,OT,3.7299924075048815e-07
247,PI,0.9982266280959973
247,QU,0.0017729949161107788
250,AC,2.8666683640714287e-11
250,LI,7.334309972935715e-10
250,OT,3.923814748463007e-07
250,PI,0.9969470453025172
250,QU,0.0030525615539103374
259,AC,4.4466225428571427e-13
259,LI,1.5504782675714287e-11
259,OT,3.099378150884e-08
259,PI,0.9988944066185261
259,QU,0.0011055623717430862
269,AC,1.5196441787869563e-10
269,LI,3.1225804756156514e-09
269,OT,3.281169278200552e-07
269,PI,0.9987817072844204
269,QU,0.0012179613241071953
275,AC,1.3340425032916669e-09
275,LI,2.1638521956428333e-08
275,OT,1.570649486859712e-06
275,PI,0.9976466510170447
275,QU,0.002351755360903932
278,AC,4.872698272857142e-12
278,LI,1.2298282333714287e-10
278,OT,9.187283960861571e-08
278,PI,0.9984788697019836
278,QU,0.0015210382973212572
285,AC,9.059095846399998e-10
285,LI,1.5942874260560002e-08
285,OT,1.4455273043924044e-06
285,PI,0.9973230247870366
285,QU,0.0026755128368751873
289,AC,1.2253226872463638e-09
289,LI,2.0279080924051818e-08
289,OT,1.7468025160656776e-06
289,PI,0.9959717589795049
289,QU,0.004026472713575457
296,AC,5.282935406785834e-09
296,LI,1.101521007918225e-07
296,OT,1.1877980700384889e-05
296,PI,0.9829100591347332
296,QU,0.017077947449530066
311,AC,3.220414e-14
311,LI,8.561033723076923e-13
311,OT,1.8563376357076924e-09
311,PI,0.9998895686128206
311,QU,0.00011042952995332071
314,AC,2.818438277632727e-09
314,LI,6.303805090139001e-08
314,OT,7.284474986099504e-06
314,PI,0.990009391557193
314,QU,0.009983258111331621
317,AC,4.14449344e-12
317,LI,1.20453594695e-10
317,OT,1.1612108098417668e-07
317,PI,0.9983815571700134
317,QU,0.0016183265843074644
319,AC,2.150518951413077e-09
319,LI,4.477795406588001e-08
319,OT,4.572286298996145e-06
319,PI,0.9924090188008521
319,QU,0.007586361984375966
320,AC,2.6569531488625003e-09
320,LI,5.29493112325625e-08
320,OT,5.7750539914775644e-06
320,PI,0.989730720029373
320,QU,0.010263449310371044
322,AC,7.874157076923077e-14
322,LI,3.2424623823076924e-12
322,OT,1.1974680529272308e-08
322,PI,0.9992547763888223
322,QU,0.0007452116331759245
323,AC,1.21927055e-13
323,LI,5.436959834999999e-12
323,OT,2.062830155749333e-08
323,PI,0.998645596363967
