crown_id	AC	LI	OT	PI	QU	
624	1.49869310021e-13	2.00253112754e-15	2.57223310278e-13	0.731896897862	0.268103102138	
624	1.32325816556e-13	1.30746091114e-15	2.84795692521e-13	0.645925410244	0.354074589756	
624	1.00837458478e-13	1.56001287513e-15	2.38513316113e-13	0.472097609171	0.527902390828	
624	9.76658829574e-14	8.76802973769e-16	9.42233462525e-14	0.637694809112	0.362305190888	
624	1.49208142424e-13	1.52294868699e-15	3.45940715913e-13	0.693670560541	0.306329439459	
624	2.06832779634e-13	2.58039725048e-15	2.17221598504e-13	0.711970448898	0.288029551101	
624	1.12752892494e-13	9.19283879567e-16	2.57797141173e-13	0.618107090284	0.381892909715	
624	2.26611427969e-13	2.27025074908e-15	2.89928719864e-13	0.735319837144	0.264680162856	
624	7.79686018286e-14	6.66783936252e-16	1.24141131765e-13	0.566514163525	0.433485836475	
624	9.88787215933e-14	1.27236517589e-15	1.45866249362e-13	0.632811539659	0.367188460341	
624	1.37613408569e-13	1.4063749737e-15	3.1875445889e-13	0.644024496204	0.355975503796	
624	1.46883115e-13	1.5063494821e-15	2.38140622686e-13	0.620451974558	0.379548025441	
624	6.78368049034e-14	5.84739148923e-16	1.0687183585e-13	0.53976778944	0.460232210559	
621	5.36327293636e-17	6.75377908804e-20	7.48335098321e-18	0.884711569478	0.115288430522	
621	3.00142617099e-16	5.17496831509e-19	7.09072094958e-17	0.760810448263	0.239189551737	
621	2.00506589345e-16	3.02922720212e-19	3.34359913976e-17	0.826947094459	0.173052905541	
621	7.26184545459e-17	1.02121362893e-19	9.61234998999e-18	0.882228109545	0.117771890455	
621	1.75308036979e-16	2.44182122435e-19	3.70016317894e-17	0.783701624445	0.216298375555	
621	1.27121099797e-16	1.79366598395e-19	2.19606532864e-17	0.83772132665	0.16227867335	
621	4.26753092017e-16	6.9951396973e-19	9.36868432864e-17	0.733622350313	0.266377649687	
621	7.58986109024e-17	9.80875401657e-20	1.24409508161e-17	0.842026942837	0.157973057163	
621	1.0794554983e-16	1.56388877299e-19	1.8159038103e-17	0.849507182007	0.150492817993	
621	2.60217575784e-17	3.0837626932e-20	3.33126898573e-18	0.901918252804	0.0980817471964	
621	2.87846507875e-16	4.94654769173e-19	6.31053043723e-17	0.770986950156	0.229013049844	
621	1.45144319311e-17	1.84149911566e-20	1.51805249509e-18	0.934295884417	0.0657041155829	
621	3.00580761145e-17	3.87647980506e-20	3.58242319445e-18	0.921040682905	0.0789593170947	
621	1.4386238365e-16	2.09551983764e-19	2.21131320318e-17	0.846965271833	0.153034728167	
621	6.14132024819e-17	7.93951258505e-20	7.95474600067e-18	0.884825252783	0.115174747217	
621	7.77138282457e-17	1.09865693636e-19	1.2038760612e-17	0.862372549931	0.137627450069	
621	5.6010560211e-17	7.66873131874e-20	6.6981380232e-18	0.900076340057	0.0999236599431	
621	1.23479868119e-16	1.91807345328e-19	1.813826433e-17	0.859499641433	0.140500358567	
621	6.02008580047e-17	7.51775212581e-20	9.18641383225e-18	0.856781824685	0.143218175315	
621	3.62792299773e-16	6.57120346162e-19	7.53598191894e-17	0.770143837903	0.229856162097	
621	2.68338504362e-16	4.43080147057e-19	4.9159411499e-17	0.804791277449	0.195208722551	
621	5.13369899368e-15	1.75770364537e-17	2.11632999956e-15	0.613230952689	0.386769047311	
621	1.77686720902e-15	4.34131179035e-18	5.88600765634e-16	0.628578910829	0.371421089171	
615	1.10907532116e-14	5.0996402068e-17	4.10044568583e-15	0.651371479535	0.348628520465	
615	5.00126107092e-16	8.45564893208e-19	6.3018695183e-17	0.873759561717	0.126240438283	
615	1.17014446191e-15	3.16853078322e-18	2.19190850508e-16	0.825792448053	0.174207551947	
615	1.73865898753e-15	4.88110355598e-18	3.72451638805e-16	0.735543876367	0.264456123633	
615	1.14104046492e-15	2.68674868798e-18	1.92763721087e-16	0.822668656329	0.177331343671	
615	7.73207586788e-15	2.58549526774e-17	2.68420231884e-15	0.594161214264	0.405838785736	
615	7.10388032595e-15	2.74599823027e-17	3.47674116171e-15	0.545085799471	0.454914200529	
615	5.09153327369e-14	2.22885179814e-16	1.36552638913e-14	0.659282099021	0.340717900979	
615	6.05398527248e-15	2.47253953542e-17	3.08301851846e-15	0.572621649407	0.427378350593	
614	2.30726052774e-17	3.20499774093e-20	2.65589121896e-18	0.915591880688	0.0844081193119	
614	6.82897508554e-17	9.07623430276e-20	1.22336193532e-17	0.840225421726	0.159774578274	
614	2.76658786056e-17	3.59650402151e-20	3.82462897337e-18	0.89017107764	0.10982892236	
614	9.91034828395e-17	1.52760178068e-19	2.43720356468e-17	0.769181614817	0.230818385183	
614	3.00115724261e-16	4.88553567166e-19	6.20708308561e-17	0.779290816102	0.220709183898	
614	1.39126399943e-17	1.70106207677e-20	1.60807151578e-18	0.910426153223	0.0895738467769	
614	3.92979971349e-17	5.70371774054e-20	7.26073785513e-18	0.835142749724	0.164857250276	
614	7.33637478651e-18	8.7339148133e-21	4.87760129367e-19	0.95844508011	0.0415549198897	
614	1.73191913909e-16	3.18565427685e-19	3.05091628779e-17	0.833639148938	0.166360851062	
614	4.74919797818e-16	9.82356074847e-19	1.3637258719e-16	0.711310164432	0.288689835568	
614	5.84719432419e-17	8.21894147747e-20	1.21572356679e-17	0.812981263066	0.187018736934	
614	1.46397428494e-17	1.73596699835e-20	1.81362038203e-18	0.906674815219	0.0933251847813	
614	5.07076472587e-16	8.87906766679e-19	1.16535545522e-16	0.7242619584	0.2757380416	
614	1.10919423507e-16	1.38246788632e-19	1.84249450751e-17	0.835854800462	0.164145199538	
